Picks recorded for 2026-08-12 (9 upcoming games, 49 hitters)
1 opener matchup(s) excluded
+---------------------------------------------------------------+
|      Top 50 by Prob % (heuristic, what the tool ranks on)     |
+----+---------------------+-----+------+------+--------+-------+
| #  | Player              |  Tm | H-AB | BB/K | Prob % | Model |
| 17 | Spencer Horwitz     | PIT | 2-14 | 3/1  | 40.8%  | 66.5% |
| 18 | Dillon Dingler      | DET | 4-22 | 2/4  | 61.8%  | 66.3% |
| 19 | José Ramírez        | CLE | 4-15 | 4/1  | 69.2%  | 66.3% |
| 20 | Angel Martínez      | CLE | 7-20 | 0/6  | 82.1%  | 66.3% |
| 21 | Andrew Pinckney     | WSH | 1-4  | 0/1  | 20.6%  | 66.0% |
| 22 | Kevin McGonigle     | DET | 9-22 | 2/3  | 92.0%  | 66.0% |
| 23 | Andrés Chaparro     | WSH | 5-13 | 1/3  | 74.3%  | 66.0% |
| 24 | Dylan Crews         | WSH | 4-22 | 0/10 | 58.6%  | 65.8% |
| 25 | Angel Genao         | CLE | 3-14 | 2/2  | 53.8%  | 65.4% |
| 26 | Jo Adell            | CLE | 2-15 | 3/7  | 40.3%  | 65.1% |
| 27 | Gleyber Torres      | DET | 3-21 | 1/4  | 49.3%  | 65.0% |
| 28 | Hao-Yu Lee          | DET | 1-4  | 1/1  | 25.0%  | 65.0% |
| 29 | Harry Ford          | WSH | 4-15 | 2/5  | 65.2%  | 64.7% |
| 30 | Jacob Gonzalez      | PIT | 3-11 | 0/1  | 50.4%  | 64.5% |
| 31 | Jacob Young         | WSH | 6-14 | 0/1  | 79.1%  | 62.7% |
| 32 | Austin Hedges       | CLE | 2-14 | 2/3  | 38.9%  | 62.6% |
| 33 | Michael Busch       | CHC | 6-21 | 1/3  | 77.2%  | 61.5% |
| 34 | Agustín Ramírez     | MIA | 3-9  | 2/4  | 59.0%  | 61.4% |
| 35 | Brayan Rocchio      | CLE | 3-20 | 0/4  | 47.8%  | 60.4% |
| 36 | Javier Báez         | DET | 5-19 | 2/2  | 72.3%  | 60.3% |
| 37 | Spencer Torkelson   | DET | 8-18 | 4/3  | 92.5%  | 59.8% |
| 38 | Owen Caissie        | MIA | 3-16 | 3/5  | 54.6%  | 59.6% |
| 39 | Heriberto Hernández | MIA | 2-20 | 0/11 | 34.4%  | 59.6% |
| 40 | Daylen Lile         | WSH | 5-18 | 0/5  | 69.0%  | 59.6% |
| 41 | Leo Jiménez         | MIA | 4-16 | 1/3  | 62.4%  | 59.5% |
| 42 | Rhys Hoskins        | CLE | 3-11 | 1/2  | 53.4%  | 59.3% |
| 43 | Ben Malgeri         | DET | 2-10 | 3/3  | 44.0%  | 59.2% |
| 44 | Max Clark           | DET | 5-22 | 0/6  | 67.8%  | 58.8% |
| 45 | Jakob Marsee        | MIA | 5-13 | 3/1  | 78.9%  | 58.6% |
| 46 | Joe Mack            | MIA | 1-14 | 1/4  | 19.9%  | 58.1% |
| 47 | Esmerlyn Valdez     | PIT | 2-14 | 6/8  | 46.0%  | 58.0% |
| 48 | Nasim Nuñez         | WSH | 2-16 | 3/3  | 39.8%  | 55.4% |
| 49 | Henry Davis         | PIT | 3-16 | 2/5  | 52.6%  | 53.5% |
+----+---------------------+-----+------+------+--------+-------+
